Species,Fire exposure (%),Metal exposure (%)
Bactris_sphaerocarpa,0.22,0.43
Bactris_syagroides,6.59,0
Banara_arguta,2.81,7.63
Banara_guianensis,2.55,20.2
Banisteriopsis_caapi,3.36,2.14
Banisteriopsis_muricata,5.08,16.05
Banisteriopsis_nummifera,6.47,6.3
Barbieria_pinnata,3,6.68
Batesia_floribunda,0.88,4.9
Bathysa_bathysoides,1.1,5.26
Bauhinia_aculeata,1.63,7.93
Bauhinia_bombaciflora,17.09,8.38
Bauhinia_cinnamomea,1.44,8.57
Bauhinia_conwayi,5.15,0
Bauhinia_corniculata,8.28,1.53
Bauhinia_cupulata,13.93,1.83
Bauhinia_longicuspis,3.33,9.74
Bauhinia_longipedicellata,10.23,4.64
Bauhinia_urocalyx,2.43,0
Becquerelia_cymosa,1.57,7.32
Becquerelia_merkeliana,1.6,0
Begonia_buddleiifolia,2.04,1.83
Begonia_fischeri,2.53,4.86
Begonia_glabra,0.66,9.62
Begonia_guaduensis,2.97,6.8
Begonia_hirtella,4.5,1.87
Begonia_parviflora,0.79,4
Begonia_peruviana,2.34,1.84
Begonia_prieurii,0.69,5.1
Begonia_rossmanniae,0.8,2.05
Begonia_semiovata,1.17,7.47
Beilschmiedia_costaricensis,0.18,2.62
Beilschmiedia_sulcata,1.35,1.79
Bellucia_acutata,4.05,5.49
Bellucia_aequiloba,2.83,4.83
Bellucia_beckii,3.02,1.15
Bellucia_dichotoma,3.28,11.32
Bellucia_grossularioides,3.36,19.3
Bellucia_strigosa,2.09,5.81
Bernardia_amazonica,0.85,0.84
Bernardinia_fluminensis,13.38,1.32
Bertiera_diversiramea,0.06,9.54
Besleria_gibbosa,0.31,0.69
Besleria_laxiflora,0.55,6.73
Besleria_parviflora,0.28,2.68
Besleria_penduliflora,0.61,0.1
Besleria_sprucei,1.61,4.26
Bifrenaria_longicornis,0.62,1.52
Bifrenaria_venezuelana,0.42,2.7
Bignonia_binata,2.83,3.81
Bignonia_bracteomana,2.94,3.99
Bignonia_campanulata,9.34,2.14
Bignonia_corymbosa,4.56,6.74
Bignonia_lilacina,4.27,15.17
Bignonia_sciuripabulum,3.17,6.73
Bignonia_uleana,5.31,2.37
Billbergia_violacea,0.17,2.41
Biophytum_castum,0.67,0
Biophytum_columbianum,1.95,1.97
Biophytum_peruvianum,1.94,0
Bisboeckelera_irrigua,0.23,0.45
Bixa_excelsa,4.76,4.31
Bixa_orellana,3.07,22.29
Blakea_bracteata,0.13,0.69
Blakea_ciliata,1.26,3.11
Blakea_ferruginea,9.95,0
Blakea_mexiae,1.71,3.92
Blakea_parasitica,0.59,3.55
Blakea_portentosa,0.43,1.56
Blakea_rosea,0.87,8.25
Blakea_spruceana,1.06,2.63
Blastemanthus_grandiflorus,0.4,1.37
Blepharandra_angustifolia,0.18,1.27
Blepharocalyx_eggersii,2.3,8.96
Blepharodon_pictum,3.85,15.25
Bletia_catenulata,4.53,5.14
Bocageopsis_canescens,1.18,38.43
Bocageopsis_multiflora,2.47,15.55
Bocageopsis_pleiosperma,0.42,11.9
Bocoa_viridiflora,0.32,1.51
Boehmeria_pavonii,1.78,5.38
Bomarea_edulis,4.33,12.2
Bonamia_ferruginea,2.37,17.76
Bonnetia_sessilis,0.36,3.02
Bonnetia_tristyla,0.25,0.4
