Species,Fire exposure (%),Metal exposure (%)
Ladenbergia_oblongifolia,1.09,5.59
Ladenbergia_riveroana,1.75,1.8
Ladenbergia_stenocarpa,4.37,0.89
Laelia_marginata,1.66,2.86
Laetia_americana,4.32,3.43
Laetia_corymbulosa,2.02,1.74
Laetia_cupulata,2,5.47
Lafoensia_acuminata,1.42,3.12
Lafoensia_punicifolia,2.31,23.62
Lafoensia_vandelliana,4.65,5.39
Lagenocarpus_guianensis,3.5,7.88
Lantana_cujabensis,2.59,11.44
Lantana_trifolia,3.19,14.8
Lantana_viscosa,7.51,5.49
Lasiacis_anomala,0.68,3.92
Lasiacis_ligulata,3.48,20.17
Lasiacis_sorghoidea,3.02,8.38
Lasiadenia_rupestris,1.24,6.87
Laxoplumeria_baehniana,3.08,0
Laxoplumeria_macrophylla,3.96,0
Laxoplumeria_tessmannii,2.99,5.65
Leandra_aristigera,1.19,4.25
Leandra_candelabrum,0.63,1.92
Leandra_caquetana,0.1,2.14
Leandra_caquetensis,0.17,0.51
Leandra_chaetodon,0.93,7.62
Leandra_cremersii,0.12,0.02
Leandra_dichotoma,1.71,6.44
Leandra_inaequalifolia,2.34,0
Leandra_intermedia,9.56,0
Leandra_longicoma,1.26,5.5
Leandra_micropetala,1.96,13.1
Leandra_nanayensis,0.29,0.24
Leandra_paleacea,0.03,0.33
Leandra_purpurea,0.21,6.22
Lecointea_amazonica,3.09,50.13
Lecointea_guianensis,1.74,0
Lecointea_peruviana,2.05,4.34
Lecythis_alutacea,1.82,8.73
Lecythis_chartacea,1.78,12.82
Lecythis_corrugata,2.52,12.09
Lecythis_holcogyne,0.66,0
Lecythis_idatimon,2.05,5.68
Lecythis_parvifructa,1.11,0.81
Lecythis_poiteaui,0.64,6.19
Lecythis_serrata,12.58,0
Leiothrix_flavescens,0.74,3.63
Lepanthes_wageneri,0.56,1.43
Lepidagathis_callistachys,2.43,0
Lepidagathis_paraensis,2.47,1.26
Lepidaploa_arenaria,7.56,2.01
Lepidaploa_gracilis,0.95,5.52
Lepidocaryum_tenue,0.72,3.96
Leptochloa_virgata,3.14,13.84
Leptolobium_araguaiense,5.04,0
Leptolobium_nitens,2.97,16.34
Licania_adolphoduckei,0.32,0
Licania_amapaensis,1.6,0
Licania_arborea,2.59,1.81
Licania_boliviensis,1.71,1.26
Licania_cardiophylla,0.16,0.85
Licania_celiae,0.13,0.27
Licania_coriacea,1.57,10.98
Licania_crassivenia,0.42,2.75
Licania_cruegeriana,1.28,0.01
Licania_cuprea,0.11,1.61
Licania_divaricata,0.22,3.32
Licania_durifolia,0.03,0.3
Licania_egleri,3.13,10.11
Licania_gracilipes,3.22,8.37
Licania_grandibracteata,0.01,0.42
Licania_heteromorpha,1.61,17.84
Licania_hirsuta,2.53,8.85
Licania_hypoleuca,1.47,16.68
Licania_imbaimadaiensis,0.22,0.01
Licania_intrapetiolaris,0.77,9.19
Licania_irwinii,0.12,10.1
Licania_jimenezii,0.53,0
Licania_krukovii,0.8,1
Licania_lanceolata,0.56,1.69
Licania_lasseri,0.54,2.69
Licania_lata,1.26,5.06
Licania_leptostachya,2.43,7.97
Licania_longistyla,2.34,15.84
Licania_macrophylla,0.82,1.08
Licania_membranacea,2.18,4.94
Licania_micrantha,1.97,17.98
Licania_minutiflora,3.2,6.67
Licania_niloi,4.31,10.48
Licania_oblongifolia,3.61,6.08
Licania_orbicularis,0.34,7.07
Licania_ovalifolia,0.25,4.76
Licania_pallida,2.31,9.18
Licania_parviflora,2.91,15.49
Licania_parvifructa,1.54,6.41
Licania_savannarum,0.3,1.49
Licania_silvae,1.94,19.41
Licania_stewardii,0.92,0.89
Licania_subarachnophylla,1.12,0.12
Licania_tambopatensis,0.21,0
Licania_teixeirae,1.16,0
Licania_triandra,0.92,1.38
Licaria_aurea,2.62,12.17
Licaria_aureosericea,1.27,1.52
Licaria_brasiliensis,1.44,8.92
Licaria_chrysophylla,0.89,8.35
Licaria_crassifolia,0.18,2.47
Licaria_dolichantha,0.56,0.95
Licaria_hirsuta,0.48,0
Licaria_macrophylla,0.74,1.8
Licaria_martiniana,0.74,8.66
Licaria_oppositifolia,0.24,3.17
Licaria_pachycarpa,1.07,8.54
Licaria_subbullata,2,7.8
Licaria_triandra,3.21,22.69
Licaria_trinervis,0.19,0.12
Limnosipanea_spruceana,4.9,5.23
Lindackeria_paludosa,2.74,17.05
Lindernia_crustacea,1.68,15.63
Lindernia_diffusa,1.13,8.59
Lissocarpa_benthamii,0.28,0.34
Lissocarpa_guianensis,0.07,1.94
Lissocarpa_stenocarpa,0.07,0.58
Lockhartia_imbricata,3.93,10.79
Lockhartia_viruensis,3.76,0
Lonchocarpus_confertiflorus,11.43,0
Lonchocarpus_crassispermus,0.83,0.02
Lonchocarpus_nicou,0.56,0.82
Lonchocarpus_riparius,4.99,0
Lonchocarpus_seorsus,0.07,3.37
Lophophytum_mirabile,1.64,1.93
Lophopterys_floribunda,22.74,1.53
Lophostoma_ovatum,0.31,0.43
Lorostemon_bombaciflorum,0.44,0
Loudetia_flammida,7.09,1.69
Loxopterygium_sagotii,0.56,7.41
Lozania_klugii,0.93,2.92
Ludwigia_decurrens,2.94,17.22
Ludwigia_erecta,2.95,14.2
Ludwigia_helminthorrhiza,3.13,9.45
Ludwigia_inclinata,4.24,6.24
Ludwigia_latifolia,1.01,45.25
Ludwigia_mexiae,2.05,0
Ludwigia_nervosa,4.32,17.39
Ludwigia_peruviana,3.24,6.31
Ludwigia_potamogeton,5.22,0
Ludwigia_rigida,2.15,7.22
Ludwigia_torulosa,1.02,6.7
Luehea_grandiflora,8.88,5.13
Luehea_ochrophylla,11.86,3.12
Luehea_speciosa,1.56,10.19
Lueheopsis_althaeiflora,1.08,30.99
Lueheopsis_rugosa,0.2,3.64
Lunania_parviflora,1.83,8.84
Lundia_densiflora,2.72,18.04
Luziola_bahiensis,3.73,7.59
Lycianthes_amatitlanensis,1.57,7.56
Lycianthes_coffeifolia,3.01,1.36
Lycianthes_inaequilatera,1.52,4.19
Lycianthes_pauciflora,2,15.62
Lycianthes_repens,13.59,0.12
Mabea_anadena,3.09,3.74
Mabea_arenicola,0.29,0.57
Mabea_elata,0.07,1.74
Mabea_elegans,4.23,14.7
Mabea_fistulifera,8.78,7.76
Mabea_nitida,1.2,7.62
Mabea_pohliana,10.84,5.7
Mabea_trianae,4.48,1.19
Macairea_cuieirasii,2.43,4.35
Macairea_lasiophylla,0.99,4.14
Macairea_maroana,0.29,0
Macairea_parvifolia,0.44,3.3
Macairea_stylosa,0.32,0.15
Macairea_thyrsiflora,3.25,15.57
Macbrideina_peruviana,2.29,5.14
Machaerium_acutifolium,10.11,5.36
Machaerium_amazonense,1.55,0.01
Machaerium_amplum,7.98,8.56
Machaerium_aristulatum,2.87,11.06
Machaerium_caudatum,10.51,0
Machaerium_hirtum,3.06,8.98
Machaerium_huanucoense,2.25,0.01
Machaerium_macrophyllum,2.33,12.3
Machaerium_myrianthum,2.76,48.68
Machaerium_paraense,0.49,11.65
Machaerium_quinata,2.01,16.87
Maclura_tinctoria,3.69,9.65
Macradenia_tridentata,1.25,0
Macrocentrum_brevipedicellatum,0.53,10.36
Macrocentrum_droseroides,0.47,3.73
Macrocentrum_repens,0.56,2.29
Macroclinium_mirabile,2.38,0.02
Macrolobium_angustifolium,1.74,13.2
Macrolobium_anomalum,0.43,0.22
Macrolobium_archeri,0.55,0.35
Macrolobium_bifolium,1.3,12.57
Macrolobium_brevense,2.9,7.09
Macrolobium_colombianum,0.52,0.67
Macrolobium_evenulosum,0.6,0
Macrolobium_ischnocalyx,0.57,1.47
Macrolobium_molle,1.2,6.68
Macrolobium_montanum,0.49,0
Macrolobium_multijugum,1.96,8.07
Macrolobium_pendulum,2.86,1.61
Macrolobium_prancei,0.2,0
Macrolobium_punctatum,0.47,0.54
Macrolobium_rubrum,0.71,1.36
Macrolobium_schinifolium,0.28,0.57
Macrolobium_spectabile,0,0
Macrolobium_stenopetalum,0.07,0.01
Macropharynx_spectabilis,3.16,14
Macrosamanea_consanguinea,0.09,0.22
Macrosamanea_discolor,0.61,1.47
Macrosamanea_kegelii,0.15,8.24
Macrosamanea_macrocalyx,0.48,0
Macrosamanea_pubiramea,1.62,6.7
Magnolia_amazonica,14.37,0
Magnolia_neillii,0,0.11
Magonia_pubescens,11.59,3.91
Maieta_neblinensis,0.06,0
Malanea_campylocarpa,0,3.46
Malanea_hypoleuca,0.38,4.39
Malanea_obovata,0.79,3.4
Malaxis_excavata,0.42,10.78
Malmea_guianensis,0,0.01
Malouetia_amazonica,0.68,0
Malouetia_bubalina,0,0.01
Malouetia_cestroides,8.82,1.5
Malouetia_duckei,1.94,11.41
Malouetia_glandulifera,0.41,0.31
Malouetia_grandiflora,0.06,0
Malouetia_lata,7.97,0
Malouetia_naias,0.35,0.29
Malouetia_tamaquarina,1.14,15.11
Malpighiodes_bracteosa,1.55,0
Malvaviscus_concinnus,1.66,4.35
Mandevilla_rugellosa,3.54,14.7
Mandevilla_scaberula,0.72,7.1
Mandevilla_subcarnosa,0.49,3.19
Mandevilla_vanheurckii,0.84,7.14
Manettia_coccinea,0.51,0.01
Manicaria_saccifera,0.37,3.19
Manihot_caerulescens,12.77,4.14
Manihot_esculenta,3.84,14.73
Manihot_leptophylla,4.01,4.78
Manihot_quinquepartita,7.77,5.45
Manilkara_cavalcantei,0.87,1.62
Manilkara_paraensis,6.45,14.92
Mansoa_alliacea,1.47,10.27
Mansoa_difficilis,4.03,1.5
Mansoa_hymenaea,1.97,2.73
Mansoa_parvifolia,1.75,3.45
Mansoa_standleyi,0.8,8.66
Mapania_pycnostachya,2.04,0.6
Maprounea_amazonica,0.58,1.39
Maprounea_guianensis,3.1,18.91
Maranta_bracteosa,14,6.8
Maranta_cyclophylla,10.87,12.97
Maranta_protracta,2.27,4.78
Maranta_ruiziana,6.42,4.35
Marathrum_aeruginosum,0.28,0.15
Marathrum_capillaceum,0.51,6.09
Marathrum_squamosum,10.72,0
Marcgravia_flagellaris,3.42,2.52
Marcgravia_purpurea,0.25,19.12
Margaritaria_nobilis,2.62,19.32
Margaritopsis_astrellantha,1.7,11.18
Margaritopsis_cephalantha,3.05,5.34
Margaritopsis_kappleri,3.01,10.43
Margaritopsis_nana,2.31,8.47
Margaritopsis_paupertina,4.6,0.01
Marila_alternifolia,0.11,0.54
Marila_laxiflora,1.47,6
Marila_tomentosa,1.29,4.64
Maripa_axilliflora,2.54,3.44
Maripa_elongata,1.62,4.77
Maripa_glabra,0.83,5.47
Maripa_pauciflora,0.04,2.5
Maripa_peruviana,1.13,3.03
Markea_coccinea,2.79,13.07
Markea_formicarum,1.83,12.4
Markea_longiflora,2.46,4.94
Marlierea_areolata,0.54,0.3
Marlierea_biptera,1.35,0.01
Marlierea_ligustrina,2.79,0.01
Marlierea_macrophylla,0,0.01
Marlierea_multiglomerata,0.17,0.01
Marlierea_salticola,0.16,0.01
Marlierea_schomburgkiana,0.33,6.51
Marlierea_spruceana,0.61,0.01
Marsdenia_bergii,4.15,0.02
Marsdenia_hilariana,12.33,2.42
Martiodendron_elatum,4.43,7.08
Martiodendron_excelsum,1.33,0
Martiodendron_parviflorum,4.8,5.14
Mascagnia_cynanchifolia,16.21,0.01
Mascagnia_dissimilis,0.86,2.75
Mascagnia_divaricata,1.49,11.71
Mascagnia_lugoi,3.06,0.01
Mascagnia_tenuifolia,3.45,0.01
Matayba_longipes,0.82,1.94
Matayba_opaca,1.48,13.85
Matayba_peruviana,2.1,10.73
Matayba_purgans,2.09,12.64
Matayba_scrobiculata,2.94,12.84
Matayba_spruceana,6.24,5.78
Matayba_stenodictya,0.46,0.3
Matelea_badilloi,0.39,0
Matelea_denticulata,2.18,13.09
Matelea_lourteigiae,0.39,2.43
Matelea_quindecimlobata,0.32,0
Matelea_vaupesana,0.16,0.01
Matelea_viridis,0.46,0
Matisia_arteagensis,0.68,0.81
Matisia_bicolor,2.55,3.05
Matisia_bracteolosa,0.2,2.73
Matisia_cordata,1.37,6.71
Matisia_intricata,0.11,0.19
Matisia_lasiocalyx,0.52,7.04
Matisia_lecythicarpa,0.77,0.52
Matisia_lomensis,0.21,0.81
Matisia_longiflora,0.51,0.6
Matisia_malacocalyx,0.35,2.15
Matisia_ochrocalyx,0.78,17.01
Mauritia_carana,0.3,0.33
Mauritia_flexuosa,2.67,13.12
Mauritiella_aculeata,2.97,9.92
Maxillaria_bolivarensis,0.81,15.17
Maxillaria_grobyoides,0.17,0.01
Maxillaria_kegelii,0.41,13.7
Maxillaria_porrecta,0.46,2.21
Maxillaria_quelchii,0.44,2.66
Maxillaria_superflua,0.22,6.93
Mayaca_sellowiana,3.89,10.63
Mayna_grandifolia,1.05,1.52
Mayna_odorata,1.59,11.45
Maytenus_erythrocarpa,3.69,0.86
Maytenus_ficiformis,0.7,1.58
Maytenus_guyanensis,2.8,15.96
Maytenus_laevis,0.59,1.36
Maytenus_meguillensis,1.88,2.04
Maytenus_oblongata,0.64,17.5
Maytenus_retusa,1.61,2.84
Melicoccus_pedicellaris,1.22,3.9
Meliosma_wurdackii,0.15,1.27
Melochia_parvifolia,4.5,6.84
Melochia_spicata,1.44,1.78
Melothria_dulcis,1.82,1.51
Melothria_trilobata,1.38,1.34
Melothria_warmingii,4.98,6.33
Mendoncia_hirsuta,9.87,1.65
Mendoncia_pedunculata,1.19,2.1
Meriania_urceolata,2.12,15.66
Merremia_macrocalyx,2.72,13.12
Merremia_umbellata,3.67,10.97
Mesechites_trifidus,2.82,20.71
Mesosetum_annuum,10.96,1.49
Mesosetum_cayennense,5.18,5.9
Mesosetum_chaseae,1.45,1.48
Mesosetum_chlorostachyum,0.84,0.01
Mesosetum_filifolium,3.69,2.4
Mesosetum_loliiforme,4.95,5.05
Metalepis_albiflora,1.21,2.76
Metteniusa_tessmanniana,0.24,0.95
Mezia_angelica,0.26,0
Mezia_includens,1.02,5.34
Mezilaurus_decurrens,0.07,0
Mezilaurus_duckei,0.69,0.76
Mezilaurus_itauba,3.22,10.26
Mezilaurus_micrantha,0.9,0.15
Mezilaurus_subcordata,4.6,17.35
Mezobromelia_pleiosticha,0.34,2.07
Miconia_abbreviata,1.28,5.7
Miconia_acuminata,3.46,9.18
Miconia_acutipetala,1.19,0
Miconia_affinis,2.66,19.85
Miconia_aliquantula,2.95,11.21
Miconia_alternans,1.75,15.66
Miconia_amacurensis,0.73,4.89
Miconia_amazonica,0.96,2
Miconia_aplostachya,2.74,11.73
Miconia_aponeura,0.23,1.53
Miconia_appendiculata,0.76,1.16
Miconia_argyrophylla,1.91,18.29
Miconia_astroplocama,0.66,2.66
Miconia_aurea,1.45,3.84
Miconia_biglandulosa,2.19,7.27
Miconia_borjensis,1.72,0.15
Miconia_bracteata,0.26,6.21
Miconia_brevipes,2.07,9.41
Miconia_bubalina,1.97,13.18
Miconia_cacatin,0.04,2.31
Miconia_calvescens,3.22,10.51
Miconia_campestris,0.27,5.77
Miconia_carassana,2.63,2.25
Miconia_cazaletii,0.09,2.93
Miconia_ceramicarpa,1.87,11.84
Miconia_chrysophylla,2.83,20.06
Miconia_ciliata,3.18,21.33
Miconia_collatata,6.28,4.19
Miconia_cowanii,3.25,0.61
Miconia_decurrens,0.67,4.02
Miconia_diaphanea,3.81,10.71
Miconia_dispar,3.1,15.03
Miconia_dodecandra,0.74,9.59
Miconia_dolichorrhyncha,1.74,16.36
Miconia_duckei,1.67,1.47
Miconia_egensis,2.53,15.8
Miconia_erioclada,1.46,5.32
Miconia_eriodonta,3.22,50.25
Miconia_explicita,0.03,0.8
Miconia_filamentosa,0.62,0.71
Miconia_fosteri,1.01,1.64
Miconia_glandulifera,2.75,0
Miconia_grandifoliata,0.92,2.21
Miconia_heterochaeta,0.07,1.66
Miconia_hookeriana,0.94,2.88
Miconia_ibaguensis,5.13,13.42
Miconia_idroboi,6.31,0.19
Miconia_impetiolaris,2.37,13.98
Miconia_juruensis,2.12,1.46
Miconia_kappleri,0.24,0
Miconia_laevigata,1.34,0.25
Miconia_lanata,6.4,8.19
Miconia_lateriflora,2.24,12.39
Miconia_longifolia,1.83,19.21
Miconia_longispicata,2.68,12
Miconia_macrothyrsa,4.02,9.6
Miconia_macrotis,0.27,3.57
Miconia_mazanana,0.11,1.15
Miconia_minutiflora,2.92,21.43
Miconia_mirabilis,1.08,8.46
Miconia_molybdea,2.73,2.02
Miconia_multispicata,0.99,7.06
Miconia_paleacea,0.83,2.19
Miconia_pastazana,0.01,0.78
Miconia_plukenetii,0.26,5.87
Miconia_prasina,2.35,18.94
Miconia_procumbens,1.68,2.17
Miconia_pseudocapsularis,0.68,1.01
Miconia_pterocaulon,0.97,1.31
Miconia_puberula,4.87,5.52
Miconia_punctata,2.23,19.36
Miconia_pyrifolia,3.47,14.48
Miconia_radulifolia,0.62,4.26
Miconia_regelii,4.7,11.3
Miconia_rhytidophylla,1.09,4.68
Miconia_rimachii,3,21.99
Miconia_rivalis,0.24,1.27
Miconia_rubiginosa,3.78,19.17
Miconia_rufescens,2.97,18.34
Miconia_rupticalyx,0.14,9.26
Miconia_sanguinea,1.94,3.48
Miconia_sciurea,0.21,1.14
Miconia_secundiflora,7.4,7.54
Miconia_semisterilis,0.53,0.21
Miconia_serialis,1.63,9.81
Miconia_spennerostachya,1.55,4.8
Miconia_splendens,2.59,21.97
Miconia_staminea,8.55,2.31
Miconia_stelligera,1.74,4.67
Miconia_stenostachya,4.61,16.75
Miconia_stephananthera,2.55,6.4
Miconia_steyermarkii,0.24,0.15
Miconia_subandicola,2.05,4.37
Miconia_subglabra,1.63,0
Miconia_tetragona,2.9,4.25
Miconia_tetrasperma,2.81,9.15
Miconia_tiliifolia,5.08,3.1
Miconia_titanophylla,0.46,0.03
Miconia_truncata,0.33,1.38
Miconia_umbrosa,3.04,1.93
Miconia_venulosa,0.3,3.53
Micrandra_gleasoniana,0.23,0
Micrandra_rossiana,0.48,1.48
Micrandra_siphonioides,1.9,8.68
Micrandra_spruceana,0.7,7.9
Micrandra_sprucei,0.34,0.41
Micropholis_casiquiarensis,1.86,1.13
Micropholis_cylindrocarpa,1.66,0.99
Micropholis_egensis,2.25,20.16
Micropholis_gardneriana,8.56,5.17
Micropholis_humboldtiana,2.06,1.81
Micropholis_melinoniana,1.45,11.11
Micropholis_mensalis,0.32,4.22
Micropholis_porphyrocarpa,1.95,7.1
Micropholis_retusa,0.88,0.13
Micropholis_splendens,0.35,1.25
Micropholis_suborbicularis,0.23,2.38
Micropholis_trunciflora,1.78,5.3
Micropholis_venamoensis,0.3,0
Micropholis_venulosa,2.73,21.92
Micropholis_williamii,0.55,10.38
Microplumeria_anomala,1.34,9.97
Microstachys_corniculata,4.72,7.79
Microtea_debilis,1.56,6.73
Mikania_congesta,2.53,16.74
Mikania_decora,0.94,4.81
Mikania_gabrieli,1.02,0
Mikania_gleasonii,0.21,3.98
Mikania_guaco,1.85,13.99
Mikania_hookeriana,0.86,10.04
Mikania_lindleyana,3.11,9.91
Mikania_longiacuminata,4.58,0.01
Mikania_lucida,0.54,3.02
Mikania_megalophylla,1.55,0.14
Mikania_parviflora,1.58,14.67
Mikania_psilostachya,3.01,19.95
Mikania_rondonensis,0.91,0.25
Mikania_rotunda,0.28,0
Mimosa_candollei,4.03,7.15
Mimosa_colombiana,2.74,0.65
Mimosa_diplotricha,4.02,7.01
Mimosa_guilandinae,1.93,12.29
Mimosa_myriadenia,0.71,9.85
Mimosa_orthocarpa,7.55,0.11
Mimosa_piresii,19.93,1.76
Mimosa_polydactyla,1.18,13.46
Mimosa_pusilliceps,8.34,0.01
Mimosa_rufescens,2.15,18.03
Mimosa_schomburgkii,0.75,7.53
Mimosa_velloziana,7.37,6.04
Minquartia_guianensis,1.62,16.83
Mitracarpus_hirtus,3.57,6.93
Mitreola_petiolata,3.04,7.07
Mollia_grandiflora,0.06,0
Mollia_longifolia,2.43,0
Mollia_lucens,9.61,0
Mollia_sphaerocarpa,3.58,0
Mollia_tomentosa,0.06,0.11
Mollia_ulei,0.85,4.56
Mollinedia_killipii,1.06,14.82
Molongum_lucidum,0.29,0.11
Monnina_cacumina,0.64,0.58
Monophyllanthe_araracuarensis,0.05,0.1
Monopteryx_uaucu,0.12,0.12
Monotagma_angustissimum,0.65,0.82
Monotagma_aurantispathum,0.46,0
Monotagma_breviscapum,0.28,0.07
Monotagma_densiflorum,7.14,4.63
Monotagma_exile,0.85,5.85
Monotagma_juruanum,2.32,10.24
Monotagma_laxum,2.53,17.26
Monotagma_plurispicatum,3.88,19.14
Monotagma_tuberosum,0.18,2.25
Monotagma_ulei,3.64,3.04
Monotrema_bracteatum,0.38,1.17
Monotrema_xyridoides,2.49,4.03
Monstera_adansonii,2.28,18.02
Monstera_gracilis,1.44,0.72
Monstera_kessleri,1.03,0.01
Monstera_lechleriana,1.08,7.59
Monstera_pinnatipartita,1.12,2.67
Monstera_spruceana,1.53,14.17
Montrichardia_linifera,1.61,9.36
Mora_excelsa,0.21,4.7
Mora_gonggrijpii,0.19,10.19
Morisonia_oblongifolia,2.79,3.38
Moronobea_candida,2.99,10.58
Moronobea_jenmanii,0.57,1.93
Mosannona_discolor,1.01,8.93
Mosannona_raimondii,1.01,2.04
Mouriri_angulicosta,0.29,9.16
Mouriri_angustifolia,0.31,4.15
Mouriri_cauliflora,1.07,2.98
Mouriri_duckeana,2.6,11.92
Mouriri_duckeanoides,0.71,2.98
Mouriri_francavillana,0.33,4.81
Mouriri_huberi,1.95,9.37
Mouriri_lunatanthera,1.43,5.49
Mouriri_myrtifolia,3.55,11.66
Mouriri_myrtilloides,3.67,5.01
Mouriri_nigra,2.61,16.08
Mouriri_oligantha,2.04,8.8
Mouriri_pranceana,21.48,0.35
Mouriri_retentipetala,0.18,0.22
Mouriri_sideroxylon,2.73,13.25
Mouriri_subumbellata,3.47,11.06
Mouriri_uncitheca,0.38,0.74
Mouriri_viridicosta,1.74,0
Moutabea_aculeata,2.49,46.8
Moutabea_angustifolia,2.43,0
Moutabea_guianensis,1.58,13.32
Mucuna_sloanei,2.53,11.9
Muntingia_calabura,3.92,5.6
Myoxanthus_trachychlamys,1.43,1.75
Myrcia_albidotomentosa,0.39,2.2
Myrcia_amazonica,4.39,18.29
Myrcia_bolivarensis,0.42,15.25
Myrcia_bonnetiasylvestris,1.27,1.38
Myrcia_bracteata,2.52,16.26
Myrcia_calycampa,0.99,6.44
Myrcia_citrifolia,0.84,7.03
Myrcia_clusiifolia,0.61,7.22
Myrcia_concava,1.07,1.42
Myrcia_dichasialis,1.5,6.52
Myrcia_extranea,0,0
Myrcia_fascicularis,1.62,0
Myrcia_ferruginea,16.28,0
Myrcia_gigas,3.98,22.37
Myrcia_gonini,0.1,0.01
Myrcia_hoffmannseggii,2.14,0
Myrcia_inaequiloba,1.29,10.25
Myrcia_multiflora,4.83,15.32
Myrcia_neesiana,1.71,6.38
Myrcia_nubicola,0.29,3.37
Myrcia_obumbrans,0.36,4.47
Myrcia_paivae,2.13,19.83
Myrcia_pentagona,0.27,0
Myrcia_pistrinalis,0.08,0.94
Myrcia_platyclada,0.74,6.43
Myrcia_porphyrea,0.25,0.01
Myrcia_pyrifolia,0.68,7.71
Myrcia_revolutifolia,0.29,0.3
Myrcia_saxatilis,0.55,5.15
Myrcia_servata,1.34,11.41
Myrcia_silvatica,0.52,10.26
Myrcia_speciosa,0.48,0.01
Myrcia_splendens,3.18,20.63
Myrcia_subobliqua,0.17,3.85
Myrcia_sylvatica,2.16,19.87
Myrcia_tomentosa,5.68,10.51
Myrcianthes_discolor,0.51,2.58
Myrciaria_floribunda,3.26,21.57
Myrciaria_tenella,5.35,10.25
Myrciaria_vexator,0.55,7.32
Myrsine_guianensis,1.99,7.51
Myrteola_nummularia,1.34,4.8
Najas_arguta,3.4,4.59
Napeanthus_jelskii,0.09,3.51
Naucleopsis_caloneura,3.7,9.12
Naucleopsis_concinna,1.92,7.15
Naucleopsis_glabra,1.59,8.74
Naucleopsis_humilis,0.09,0.38
Naucleopsis_imitans,2.06,5.04
Naucleopsis_krukovii,1.73,6.26
Naucleopsis_ulei,1.28,12.71
Nautilocalyx_bullatus,1.08,4.2
Nautilocalyx_forgetii,5.31,0.03
Nautilocalyx_hirtiflorus,2.69,0.01
Nautilocalyx_lynchii,2.43,0
Nautilocalyx_mimuloides,0.2,0
Nautilocalyx_mulfordii,2.43,0
Nautilocalyx_pallidus,2.53,13.39
Nealchornea_stipitata,1.02,0
Nectandra_coeloclada,0.28,0.4
Nectandra_cuneatocordata,2.25,2.8
Nectandra_cuspidata,3.42,20.62
Nectandra_embirensis,1.72,4.36
Nectandra_hihua,3.7,18.21
Nectandra_impressa,2.43,0
Nectandra_japurensis,0.99,1.92
Nectandra_laurel,1.52,4.63
Nectandra_lineata,0.35,3.96
Nectandra_longifolia,2.78,6.57
Nectandra_maynensis,1.94,3.85
Nectandra_membranacea,2.83,6.3
Nectandra_microcarpa,2.26,1.94
Nectandra_pearcei,1.13,10.27
Nectandra_pichurim,1.55,3.05
Nectandra_pulverulenta,4.36,15.43
Nectandra_sanguinea,0.59,5.59
Nectandra_turbacensis,2.44,5.23
Neea_dimorphophylla,3.8,0.35
Neea_huachamacarae,0.1,1.54
Neea_laxa,1.18,4.77
Neea_longipedunculata,2.02,0
Neea_macrophylla,1.99,12.07
Neea_mapirensis,1.65,0.92
Neea_parimensis,0,0
Neea_robusta,0.48,4.93
Neea_subglabrata,0.43,1.01
Neea_verticillata,1.18,2.88
Neea_virens,1.15,3.63
Neocuatrecasia_tysonii,6.99,0.04
Neoptychocarpus_apodanthus,1.96,4.58
Neoptychocarpus_killipii,0.65,1.37
Neoregelia_leviana,0.1,0.12
Neosprucea_grandiflora,0.62,2.45
Neosprucea_rimachii,0,2.22
Neosprucea_sucumbiensis,0.09,0.75
Neotessmannia_uniflora,2.75,0
Nephradenia_linearis,2.02,10.52
Nephradenia_reflexa,0.67,0.01
Neurolaena_lobata,0.59,5.66
Nidema_ottonis,1.98,2.1
Niedenzuella_castanea,0,0.01
Niedenzuella_poeppigiana,4.96,2.7
Niedenzuella_stannea,4.19,12.66
Niedenzuella_suaveolens,8.11,0.41
Nissolia_fruticosa,2.54,3
Noisettia_orchidiflora,2.11,6.15
Nothotalisia_peruviana,6.38,2.31
Notopleura_acuta,1.37,2.29
Notopleura_aequatoriana,0,0.53
Notopleura_capacifolia,0.59,2.34
Notopleura_congesta,0.31,2.31
Notopleura_crassa,0.43,4.42
Notopleura_iridescens,0,1.74
Notopleura_parasiggersiana,0.45,0.53
Notopleura_perpapillifera,0.22,6.06
Notopleura_tapajozensis,1.35,9.61
Notopleura_uliginosa,0.58,1.34
Notylia_peruviana,3.38,12.51
Notylia_sagittifera,0.2,8.92
Nycticalanthus_speciosus,1.17,0
Nymphaea_belophylla,6.3,5.87
Nymphaea_potamophila,1.11,1.61
Nymphaea_rudgeana,3.68,10.51
Ocellochloa_stolonifera,2.85,5.45
Ochoterenaea_colombiana,1.36,3.24
Ochthocosmus_barrae,9.63,5.1
Ochthocosmus_multiflorus,0.32,0.25
Ochthocosmus_roraimae,0.76,6.37
Ocimum_campechianum,2.9,13.99
Ocotea_amazonica,2.07,16.42
Ocotea_bijuga,0.43,0.6
Ocotea_bofo,1.25,7.62
Ocotea_camphoromoea,4.52,9.42
Ocotea_ceanothifolia,2.6,9.42
Ocotea_cinerea,0.37,1.26
Ocotea_commutata,0.05,0.01
Ocotea_cujumary,3.08,14.22
Ocotea_debilis,0.68,5.05
Ocotea_diffusa,0.05,6.46
Ocotea_discrepens,0.09,2.53
Ocotea_duidensis,0.5,1.49
Ocotea_immersa,0.32,0.58
Ocotea_indirectinervia,1.47,5.72
Ocotea_javitensis,1.01,6.11
Ocotea_leptobotra,5.33,20.21
