species,group,Exposure
Adenomera_inopinata,Amphibians,1.944040429
Adenomera_juikitam,Amphibians,0.552822898
Adenomera_kayapo,Amphibians,1.422429481
Adenomera_lutzi,Amphibians,0.366069308
Adenomera_martinezi,Amphibians,0.29753351
Adenomera_phonotriccus,Amphibians,0.014286617
Adenomera_saci,Amphibians,0.73610404
Adenomera_simonstuarti,Amphibians,0.49763726
Adenomera_tapajonica,Amphibians,1.185867667
Adenostemma_fosbergii,Plants,0.825693729
Adenostemma_involucratum,Plants,1.470309855
Adenostemma_platyphyllum,Plants,0.760629763
Adesmia_miraflorensis,Plants,0.872954135
Adesmia_muricata,Plants,4.729003354
Adesmia_spinosissima,Plants,2.095025972
Adiantopsis_aurea,Plants,8.860692281
Adiantopsis_monticola,Plants,2.304921065
Adiantopsis_orbignyana,Plants,9.093887144
Adiantopsis_regularis,Plants,0.426366197
Adiantopsis_senae,Plants,0.834460619
Adiantopsis_timida,Plants,1.998682325
Adiantopsis_trifurcata,Plants,1.165666945
Adiantopsis_tweediana,Plants,0.522483329
Adiantum_abscissum,Plants,1.074834225
Adiantum_anceps,Plants,1.094226935
Adiantum_andicola,Plants,4.971312187
Adiantum_cayennense,Plants,1.08719763
Adiantum_cinnamomeum,Plants,1.272937698
Adiantum_concinnum,Plants,0.740069669
Adiantum_dawsonii,Plants,0.358228576
Adiantum_deflectens,Plants,1.166416977
Adiantum_digitatum,Plants,0.871356064
Adiantum_diogoanum,Plants,0.854867251
Adiantum_dolosum,Plants,1.262821947
Adiantum_elegantulum,Plants,12.65865405
Adiantum_fructuosum,Plants,1.018598369
Adiantum_giganteum,Plants,1.243638946
Adiantum_glaucescens,Plants,1.236793759
Adiantum_glaziovii,Plants,5.064590389
Adiantum_gracile,Plants,0.825528446
Adiantum_humile,Plants,0.871103286
Adiantum_intermedium,Plants,0.395468402
Adiantum_latifolium,Plants,1.041505834
Adiantum_leprieurii,Plants,2.627858996
Adiantum_lorentzii,Plants,1.707200765
Adiantum_macrophyllum,Plants,1.365423508
Adiantum_multisorum,Plants,1.3337114
Adiantum_nudum,Plants,1.357866219
Adiantum_obliquum,Plants,1.06809539
Adiantum_orbignyanum,Plants,1.8561943
Adiantum_ornithopodum,Plants,0.914616011
Adiantum_oyapokense,Plants,1.387842368
Adiantum_pectinatum,Plants,0.649455022
Adiantum_peruvianum,Plants,0.868663178
Adiantum_petiolatum,Plants,1.034595027
Adiantum_phyllitidis,Plants,2.90192507
Adiantum_pilosum,Plants,2.341370294
Adiantum_pulverulentum,Plants,1.066780642
Adiantum_raddianum,Plants,0.879298991
Adiantum_rhizophytum,Plants,0.550109705
Adiantum_rondonii,Plants,1.177204069
Adiantum_rubellum,Plants,14.76551575
Adiantum_scalare,Plants,0.666995999
Adiantum_serratodentatum,Plants,1.216381372
Adiantum_sinuosum,Plants,1.004086206
Adiantum_solomonii,Plants,4.894707052
Adiantum_tenerum,Plants,1.674007404
Adiantum_terminatum,Plants,1.116282924
Adiantum_tetraphyllum,Plants,1.035728659
Adiantum_triquetrum,Plants,2.304921065
Adiantum_tuomistoanum,Plants,0.171739903
Adiantum_urophyllum,Plants,0.796681919
Adiantum_wagneri,Plants,18.18671518
Adiantum_williamsii,Plants,4.925595302
Adnaria_octosperma,Plants,2.304921065
Adnaria_villosa,Plants,2.304921065
Adontosternarchus_balaenops,Fishes,0.820865971
Adontosternarchus_clarkae,Fishes,0.826696732
Adontosternarchus_devenanzii,Fishes,2.267261462
Adontosternarchus_nebulosus,Fishes,0.832936836
Adontosternarchus_sachsi,Fishes,0.860956765
Aechmea_abbreviata,Plants,1.138178686
Aechmea_angustifolia,Plants,1.085591035
Aechmea_anomala,Plants,7.696251538
Aechmea_arenaria,Plants,10.08830824
Aechmea_biflora,Plants,16.82906901
Aechmea_bromeliifolia,Plants,1.141441957
Aechmea_campanulata,Plants,10.53216833
Aechmea_castelnavii,Plants,1.581556032
